封面,标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2907352139.jpg","我的鬼女孩/好きでも嫌いなあまのじゃく/MyOniGirl","2","2024/05/26","?","2024/05/24","日本","https://movie.douban.com/subject/36813941/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2899263477.jpg","红猪/紅の豚/飞天红猪侠(港)/PorcoRosso","4","2024/05/22","","1992/07/18","日本","https://movie.douban.com/subject/1291838/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg","萤火虫之墓/火垂るの墓/再见萤火虫(港)/萤火挽歌","4","2024/05/20","","1988/04/16","日本","https://movie.douban.com/subject/1293318/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2568815519.jpg","女高中生的虚度日常/女子高生の無駄づかい/女子高中生的虚度日常/女高中生的无所事事","5","2024/05/18","","2019/07/05","日本","https://movie.douban.com/subject/30446496/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2900052007.jpg","地球脉动第三季/PlanetEarthSeason3/PlanetEarthIII","5","2024/05/09","","2023/10/22","英国","https://movie.douban.com/subject/33387357/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2508739716.jpg","摇曳露营△/ゆるキャン△/悠闲野营/YuruCamp","5","2024/05/08","","2018/01/04","日本","https://movie.douban.com/subject/27077082/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg","花束般的恋爱/花束みたいな恋をした/她和他的恋爱花期(港)/爱如花束恋恋不忘","5","2024/04/27","","2021/01/29","日本","https://movie.douban.com/subject/34874432/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2899610681.jpg","万神殿第二季/PantheonSeason2","5","2024/04/25","","2023/10/15","美国","https://movie.douban.com/subject/36067160/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2928966667.jpg","辐射第一季/FalloutSeason1/异尘余生(港/台)","5","2024/04/23","","2024/04/10","美国","https://movie.douban.com/subject/35128081/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893708152.jpg","狐妖小红娘·无暮篇/狐妖小红娘第11季/狐妖小红娘第146-157集","3","2024/04/16","","2023/06/24","中国大陆","https://movie.douban.com/subject/36055455/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2878569702.jpg","万神殿第一季/PantheonSeason1","5","2024/04/14","","2022/09/01","美国","https://movie.douban.com/subject/34990593/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg","狮子王/TheLionKing/狮子王3D","","2024/04/13","","1994/06/15","美国","https://movie.douban.com/subject/1301753/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2900756247.jpg","假如…？第二季/WhatIf...?Season2/无限可能：假如…？","3","2024/04/11","","2023/12/22","美国","https://movie.douban.com/subject/35471943/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg","钢琴家/ThePianist/钢琴战曲(港)/战地琴人(台)","","2024/04/07","","2002/05/24","戛纳电影节","https://movie.douban.com/subject/1296736/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.jpg","海上钢琴师/Laleggendadelpianistasull'oceano/声光伴我飞(港)/一九零零的传奇","","2024/04/05","","1998/10/28","意大利","https://movie.douban.com/subject/1292001/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2905021483.jpg","周处除三害/周處除三害/ThePig,theSnake,andthePigeon","4","2024/04/01","","2023/10/06","中国台湾","https://movie.douban.com/subject/36151692/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg","控方证人/WitnessfortheProsecution/雄才伟略/情妇","5","2023/12/28","","1957/12/17","美国","https://movie.douban.com/subject/1296141/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg","看不见的客人/Contratiempo/死无对证(港)/布局(台)","5","2023/11/14","","2016/09/23","奇幻电影节","https://movie.douban.com/subject/26580232/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2890534855.jpg","生化危机：死亡岛/バイオハザード：デスアイランド/生化危机：夺命岛/生化危机:死亡之岛(港)","3","2023/08/19","","2023/06/21","菲律宾","https://movie.douban.com/subject/36240739/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2887888463.jpg","银河护卫队3/GuardiansoftheGalaxyVol.3/银河守护队3(港)/星际异攻队3(台)","3","2023/08/19","","2023/05/03","中国香港","https://movie.douban.com/subject/26258779/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2328449064.jpg","走向共和/满清末代王朝(台)/FortheSakeoftheRepublic","5","2023/08/19","集数:68","2003/04/12","中国大陆","https://movie.douban.com/subject/1441794/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2892315297.jpg","蜘蛛侠：纵横宇宙/Spider-Man:AcrosstheSpider-Verse/蜘蛛侠：平行宇宙2/蜘蛛侠：纵横宇宙(上)","5","2023/06/02","","2023/05/31","法国","https://movie.douban.com/subject/30391186/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2919121051.jpg","疾速追杀4/JohnWick:Chapter4/杀神JohnWick4(港)/捍卫任务4(台)","","2023/05/25","","2023/03/13","西南偏南电影节","https://movie.douban.com/subject/33455421/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg","茶馆/TheTeahouse","5","2023/05/22","","","","https://movie.douban.com/subject/1461403/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg","超能陆战队/BigHero6/大英雄联盟(港)/大英雄天团(台)","","2023/05/22","","2014/10/23","东京电影节","https://movie.douban.com/subject/11026735/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2871968966.jpg","青春变形记/TurningRed/熊抱青春记(港)/青春养成记(台)","5","2023/05/21","","2022/03/11","美国网络","https://movie.douban.com/subject/35284253/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2160254162.jpg","华尔街之狼/TheWolfofWallStreet/华尔街狼人(港)","","2023/05/12","","2013/12/17","纽约首映","https://movie.douban.com/subject/2997076/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg","闻香识女人/ScentofaWoman/女人香/女人的芳香","5","2023/05/10","","1992/12/23","美国","https://movie.douban.com/subject/1298624/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517465365.jpg","男子高中生的日常/男子高校生の日常/DailyLivesofHighSchoolBoys","5","2023/04/21","","2012/01/09","日本","https://movie.douban.com/subject/6894811/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2200293860.jpg","男子高中生的日常特典/男子高校生の日常特典映像","5","2023/04/21","","2012/04/03","日本","https://movie.douban.com/subject/20376763/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885032978.jpg","穿靴子的猫2/PussinBoots:TheLastWish/无敌猫剑侠2/鞋猫剑客2(台)","3","2023/04/15","","2022/12/07","法国","https://movie.douban.com/subject/25868125/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg","谍影重重3/TheBourneUltimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台)","3","2023/04/10","","2007/08/03","美国","https://movie.douban.com/subject/1578507/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg","谍影重重2/TheBourneSupremacy/叛谍追击2：机密圈套(港)/神鬼认证：神鬼疑云(台)","3","2023/04/07","","2004/07/15","洛杉矶首映","https://movie.douban.com/subject/1308767/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163966572.jpg","恶战/惡戰/上海滩马永贞/OnceUponaTimeinShanghai","3","2023/03/11","","2014/01/10","中国大陆","https://movie.douban.com/subject/10604851/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg","谍影重重/TheBourneIdentity/叛谍追击(港)/神鬼认证(台)","","2023/03/10","","2002/06/14","美国","https://movie.douban.com/subject/1304102/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260472202.jpg","轻音少女/けいおん!/轻音/K-On!","","2023/03/10","","2009/04/02","日本","https://movie.douban.com/subject/3681349/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2260472124.jpg","轻音少女第二季/けいおん!!/轻音少女2/K-ON!!","","2023/03/10","","2010/04/06","日本","https://movie.douban.com/subject/4223466/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2891733211.jpg","轻音少女番外篇：冬日/けいおん!番外編冬の日!/轻音少女第13话/K-On!:WinterDays!","","2023/03/10","","2009/06/25","日本","https://movie.douban.com/subject/25739319/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2926272593.jpg","轻音少女番外篇：企划会议/けいおん!!番外編企画会議！/轻音少女第二季第25话/K-On!:PlanningDiscussion!","","2023/03/10","","2010/09/21","日本","https://movie.douban.com/subject/5294307/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2125202350.jpg","轻音少女番外篇：计划/けいおん!!番外編計画！/轻音少女第二季第27话/轻音少女第二季TV未放送话","5","2023/03/10","","2011/03/16","日本","https://movie.douban.com/subject/6080698/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2899619837.jpg","轻音少女番外篇：访问/けいおん!!番外編訪問！/轻音少女第二季第26话/K-On!:Visit!","5","2023/03/10","","2010/09/28","日本","https://movie.douban.com/subject/5308199/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2518123009.jpg","轻音少女番外篇：LiveHouse/けいおん!番外編ライブハウス!/K-On!LiveHouse!","5","2023/03/10","","2010/01/20","日本","https://movie.douban.com/subject/3993189/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2880400525.jpg","孤独摇滚！/ぼっち・ざ・ろっく！/BocchitheRock!","5","2023/01/18","","2022/10/08","日本","https://movie.douban.com/subject/35366293/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2233066980.jpg","情圣/情聖/笑情偿债(台)/TheMagnificentScoundrels","4","2022/12/26","","1991/10/10","中国香港","https://movie.douban.com/subject/1307747/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539127687.jpg","巴斯特·斯克鲁格斯的歌谣/TheBalladofBusterScruggs/巴斯特民谣/巴斯特的歌谣","","2022/12/05","","2018/08/31","威尼斯电影节","https://movie.douban.com/subject/26952704/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg","美国往事/OnceUponaTimeinAmerica/四海兄弟(台)/义薄云天(港)","4","2022/11/04","","1984/02/17","波士顿首映","https://movie.douban.com/subject/1292262/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929224846.jpg","爱乐之城/LaLaLand/星声梦里人(港)/乐来越爱你(台)","3","2022/10/25","","2016/08/31","威尼斯电影节","https://movie.douban.com/subject/25934014/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2412027382.jpg","神探夏洛克第四季/SherlockSeason4/新福尔摩斯第四季/新世纪福尔摩斯(台)第四季","4","2022/10/21","","2017/01/01","英国","https://movie.douban.com/subject/25750923/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2299823043.jpg","神探夏洛克：可恶的新娘/Sherlock:TheAbominableBride/新福尔摩斯(港)/新世纪福尔摩斯：地狱新娘(台)","4","2022/10/16","","2016/01/01","英国","https://movie.douban.com/subject/25920885/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176081357.jpg","神探夏洛克第三季/SherlockSeason3/大侦探福尔摩斯第三季(台)/新福尔摩斯第三季(港)","4","2022/10/13","","2014/01/01","英国","https://movie.douban.com/subject/10455629/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2164957248.jpg","神探夏洛克：最后的誓言/Sherlock:HisLastVow/Sherlock:Season3,Episode3","4","2022/10/13","","2014/01/12","英国","https://movie.douban.com/subject/25804790/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2870609453.jpg","神探夏洛克：福至如归/SherlockMiniEpisode-ManyHappyReturns/神探夏洛克圣诞迷你集/神探夏洛克圣诞特别篇","5","2022/10/09","","2013/12/24","英国","https://movie.douban.com/subject/25798411/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1126230263.jpg","神探夏洛克(试播集)/SherlockS01E00Pilot/神探夏洛克(试播集)","4","2022/10/09","","2010/08/30","英国","https://movie.douban.com/subject/5258017/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2870318303.jpg","坏蛋联盟/TheBadGuys/大坏蛋/坏家伙","4","2022/10/01","","2022/03/17","阿根廷","https://movie.douban.com/subject/30165311/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2873896406.jpg","怪奇物语第四季/StrangerThingsSeason4/Montauk","4","2022/09/26","","2022/05/27","美国","https://movie.douban.com/subject/27194292/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2928741186.jpg","赛博朋克：边缘行者第一季/Cyberpunk:EdgerunnersSeason1/赛博浪客/赛博朋克：边缘跑手","5","2022/09/22","","2022/09/13","美国","https://movie.douban.com/subject/35118256/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2558683543.jpg","怪奇物语第三季/StrangerThingsSeason3","4","2022/09/18","","2019/07/04","美国","https://movie.douban.com/subject/27119156/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408769639.jpg","豪勇七蛟龙/TheMagnificentSeven/七侠荡寇志(港)/绝地7骑士(台)","","2022/09/17","","2016/09/08","多伦多电影节","https://movie.douban.com/subject/10774184/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2163659004.jpg","用心棒/大镖客/保镖","","2022/09/09","","1961/04/25","日本","https://movie.douban.com/subject/1292515/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2873504366.jpg","雷神4：爱与雷霆/Thor:LoveandThunder/雷神4/雷神奇侠4：爱与雷霆(港)","3","2022/09/08","抛开剧情不谈，还挺好看的","2022/07/06","中国香港","https://movie.douban.com/subject/34477861/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2225291257.jpg","狼图腾/LeDernierLoup/WolfTotem","3","2022/09/08","","2015/02/19","中国大陆","https://movie.douban.com/subject/3993588/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2246973237.jpg","校墓处/校墓處/TheHauntedSchool/校墓处","4","2022/09/08","","","","https://movie.douban.com/subject/2036996/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg","傲慢与偏见/Pride&Prejudice/傲慢与偏见2005/PrideAndPrejudice","4","2022/09/07","","2005/09/16","英国","https://movie.douban.com/subject/1418200/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg","爱在午夜降临前/BeforeMidnight/情约半生(港)/爱在午夜希腊时(台)","4","2022/08/31","","2013/06/14","美国","https://movie.douban.com/subject/10808442/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2191788134.jpg","爱在日落黄昏时/BeforeSunset/日落巴黎(港)/爱在日落巴黎时(台)","4","2022/08/29","","2004/02/10","柏林电影节","https://movie.douban.com/subject/1291990/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg","爱在黎明破晓前/BeforeSunrise/情留半天(港)/爱在黎明破晓时(台)","5","2022/08/28","","1995/01/27","美国","https://movie.douban.com/subject/1296339/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2502853643.jpg","怪奇物语第二季/StrangerThingsSeason2","4","2022/08/27","","2017/10/27","美国","https://movie.douban.com/subject/26844438/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2265959269.jpg","西游记/老版西游记/央视版西游记","5","2022/08/27","","","","https://movie.douban.com/subject/2156663/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558580136.jpg","西游记续集","5","2022/08/27","","2000/02/08","中国大陆","https://movie.douban.com/subject/2156667/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2926801914.jpg","三国演义/TheRomanceofThreeKingdoms","5","2022/08/27","","1994/10/23","中国大陆","https://movie.douban.com/subject/1830528/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553699222.jpg","斗破苍穹特别篇2/斗破苍穹特别篇2沙之澜歌","3","2022/08/25","","2019/04/14","中国大陆","https://movie.douban.com/subject/30222889/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2364206200.jpg","怪奇物语第一季/StrangerThingsSeason1/Montauk","4","2022/08/25","","2016/07/15","美国","https://movie.douban.com/subject/26359270/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2619362053.jpg","OneRoom第三季/OneRoomサードシーズン","5","2022/08/18","","2020/10/05","日本","https://movie.douban.com/subject/34996030/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2543472809.jpg","海洋奇缘/Moana/魔海奇缘(港)/莫阿娜","3","2022/08/18","","2016/11/23","美国","https://movie.douban.com/subject/25793398/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513443022.jpg","OneRoomOVA","4","2022/08/16","","2017/05/26","日本","https://movie.douban.com/subject/27089158/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580775324.jpg","OneRoom第二季BD特典/-extraOneRoom-","3","2022/08/16","","2019/11/30","日本","https://movie.douban.com/subject/34947618/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg","射雕英雄传之东成西就/射鵰英雄傳之東成西就/东成西就/大英雄(日本)","5","2022/08/15","","1993/02/05","中国香港","https://movie.douban.com/subject/1316510/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597593082.jpg","勇敢传说/Brave/勇敢传说之幻险森林(港)/勇敢","3","2022/08/15","","2012/06/10","西雅图电影节","https://movie.douban.com/subject/3036473/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2521552414.jpg","OneRoom第二季/OneRoomセカンドシーズン","4","2022/08/13","","2018/07/02","日本","https://movie.douban.com/subject/27157764/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2245844114.jpg","花宵道中/HanayoiDochu/ACourtesanWithFloweredSkin","3","2022/08/13","","2014/11/08","日本","https://movie.douban.com/subject/25838216/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg","色，戒/色|戒/色·戒","4","2022/08/11","","2007/08/30","威尼斯电影节","https://movie.douban.com/subject/1828115/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2259360589.jpg","日在校园/SchoolDays/スクールデイズ","3","2022/08/05","","2007/07/04","日本","https://movie.douban.com/subject/2149193/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2553992741.jpg","阿拉丁/Aladdin/阿拉丁真人版","4","2022/08/04","","2019/05/24","美国","https://movie.douban.com/subject/26891256/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2178885556.jpg","奇诺之旅：疾病之国-ForYou-/キノの旅病気の国-ForYou-/Gekijôbankinonotabi:Byôkinokuni-Foryou","3","2022/08/03","","2007/04/21","日本","https://movie.douban.com/subject/2043171/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503706179.jpg","奇诺之旅：塔之国-FreeLance-/キノの旅塔の国-FreeLance-/奇诺之旅：塔之国","3","2022/08/02","","2005/03/30","日本","https://movie.douban.com/subject/5379966/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2327417440.jpg","奇诺之旅：活着的目标-lifegoeson.-/キノの旅何かをするために-lifegoeson.-/奇诺之旅：生活继续/Kino'sJourney:Lifegoeson","3","2022/08/02","","2005/02/19","日本","https://movie.douban.com/subject/1868515/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2603245591.jpg","奇诺之旅/キノの旅-theBeautifulWorld-/KinonoTabi:theBeautifulWorld/キノの旅:theBeautifulWorld","4","2022/08/01","","2003/04/08","日本","https://movie.douban.com/subject/1512037/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2690029971.jpg","180秒能让你的耳朵幸福吗？/180秒で君の耳を幸せにできるか？/180-byoudeKiminoMimiwoShiawaseniDekiruka?","2","2022/07/31","","2021/10/15","日本","https://movie.douban.com/subject/35459125/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2167448161.jpg","异形大战铁血战士2/AVPR:Aliensvs.Predator–Requiem/异形大战铁血战士：安魂曲/异兽战2(港)","","2022/07/30","","2007/12/25","美国","https://movie.douban.com/subject/1578502/",
